iter	RMSE
0	5.08883269
1	4.989377058
2	4.896446706
3	4.809243787
4	4.721074487
5	4.625507059
6	4.543119189
7	4.46118904
8	4.385502882
9	4.309348257
10	4.235051168
11	4.154428186
12	4.079603839
13	4.011871949
14	3.934985114
15	3.870403907
16	3.801995261
17	3.734930438
18	3.668722175
19	3.614733103
20	3.549423885
21	3.493718177
22	3.431010803
23	3.382879172
24	3.328453576
25	3.270560231
26	3.209497931
27	3.152787149
28	3.096221412
29	3.044123858
30	2.9935987
31	2.950419668
32	2.895590229
33	2.84848777
34	2.801250418
35	2.752857018
36	2.710411726
37	2.67195335
38	2.630079418
39	2.59088152
40	2.553381776
41	2.525486177
42	2.484815463
43	2.448621597
44	2.413280071
45	2.378716065
46	2.345234081
47	2.310594212
48	2.276347984
49	2.241687494
50	2.210121223
51	2.178092737
52	2.147588766
53	2.121240986
54	2.093529802
55	2.060471198
56	2.037063445
57	2.010890041
58	1.986905664
59	1.963874487
60	1.942812279
61	1.91817155
62	1.895547353
63	1.874766012
64	1.854858761
65	1.831136277
66	1.810132235
67	1.787859815
68	1.772759842
69	1.755246931
70	1.735475828
71	1.717384802
72	1.70082513
73	1.68336184
74	1.666971702
75	1.650065596
76	1.636707458
77	1.621112691
78	1.607807896
79	1.590550294
80	1.572321326
81	1.557422714
82	1.542815966
83	1.527402303
84	1.517215417
85	1.505384361
86	1.489834947
87	1.477021708
88	1.463545286
89	1.452961588
90	1.445518709
91	1.431894785
92	1.420353471
93	1.408580391
94	1.397924492
95	1.386029725
96	1.375272134
97	1.363337132
98	1.352117307
99	1.341553031
100	1.333247439
101	1.324976537
102	1.316847637
103	1.308002378
104	1.300532013
105	1.291605298
106	1.283463784
107	1.274080684
108	1.265553803
109	1.258344019
110	1.251620518
111	1.243424152
112	1.236258017
113	1.228171771
114	1.219147999
115	1.208829686
116	1.202337262
117	1.195022985
118	1.187917052
119	1.182559857
120	1.17696216
121	1.170801019
122	1.165161286
123	1.159651344
124	1.153447028
125	1.147027619
126	1.142790604
127	1.137857629
128	1.133792779
129	1.128882538
130	1.123927729
131	1.119212069
132	1.113396386
133	1.108026346
134	1.104331303
135	1.100611493
136	1.093220653
137	1.088520777
138	1.084103066
139	1.078575918
140	1.074383585
141	1.069768921
142	1.064517105
143	1.059821817
144	1.055956405
145	1.052222393
146	1.048854905
147	1.044665188
148	1.037902796
149	1.033590664
150	1.029762904
151	1.025441726
152	1.022329596
153	1.019193806
154	1.015344699
155	1.01261605
156	1.010252968
157	1.006181104
158	1.003403469
159	0.999670474
160	0.996840387
161	0.9933597753
162	0.9908258966
163	0.9877789541
164	0.9847720122
165	0.9806443389
166	0.9781656115
167	0.9760679315
168	0.9740623157
169	0.971668092
170	0.9690758858
171	0.9664264265
172	0.962597336
173	0.959824078
174	0.9566909954
175	0.9506987832
176	0.9474201989
177	0.9436146955
178	0.940665088
179	0.9375492562
180	0.9356847357
181	0.9315055159
182	0.9281434527
183	0.9249746165
184	0.9231786009
185	0.9208312608
186	0.9176489476
187	0.9155951438
188	0.9117664023
189	0.908963664
190	0.9060746047
191	0.9032648171
192	0.9005777021
193	0.897783408
194	0.8958397289
195	0.8927923483
196	0.8903898433
197	0.8877189566
198	0.8844022447
199	0.8820269106
200	0.8766797646
201	0.8728817534
202	0.8720096866
203	0.8699295958
204	0.8674064331
205	0.8661024091
206	0.8633407699
207	0.8613890875
208	0.858678528
209	0.8571198337
210	0.8554793389
211	0.8528949968
212	0.8519431833
213	0.8514566012
214	0.8501454768
215	0.8484090492
216	0.8465727825
217	0.8427253147
218	0.8413774493
219	0.8400651216
220	0.8357582523
221	0.833385794
222	0.8301857589
223	0.8277414237
224	0.8236832747
225	0.8217464841
226	0.817898434
227	0.8155369964
228	0.8132487113
229	0.8117643949
230	0.8093694596
231	0.8062446172
232	0.8052534904
233	0.8041838663
234	0.802354038
235	0.8011585609
236	0.7987218081
237	0.7977334949
238	0.794948462
239	0.79364877
240	0.792480015
241	0.7888136028
242	0.7875445905
243	0.7852305574
244	0.7842276958
245	0.7834510368
246	0.7824606628
247	0.7817738365
248	0.7810405773
249	0.780507336
250	0.7798092217
251	0.7787554873
252	0.7776985477
253	0.7768672645
254	0.7742329967
255	0.7705086326
256	0.7693249058
257	0.7677173382
258	0.7645873237
259	0.7639675209
260	0.7629202963
261	0.762163297
262	0.7611806231
263	0.7605458688
264	0.7598270054
265	0.7588632217
266	0.7563872509
267	0.755284769
268	0.7543933056
269	0.7536704806
270	0.7530486752
271	0.7504732713
272	0.7497664821
273	0.7488959911
274	0.7482641296
275	0.7477749699
276	0.7470804442
277	0.7444541645
278	0.7411905385
279	0.7405201739
280	0.7350250722
281	0.7343575139
282	0.7340215672
283	0.7328803373
284	0.7320889288
285	0.7315122088
286	0.7308880733
287	0.7302977608
288	0.7296961304
289	0.7278909543
290	0.7275860027
291	0.7271741316
292	0.7236458872
293	0.7231241567
294	0.7195474733
295	0.7190478764
296	0.718522629
297	0.7179873545
298	0.7174762808
299	0.7167531368
300	0.716318505
301	0.7158265391
302	0.7121980284
303	0.7119066276
304	0.7106668377
305	0.7089671548
306	0.7085288275
307	0.7048416393
308	0.7014126367
309	0.697909396
310	0.6974529722
311	0.6961409299
312	0.6939569596
313	0.6935189049
314	0.6930908754
315	0.6900444774
316	0.6897631492
317	0.6860415157
318	0.6843090165
319	0.683008983
320	0.6825980102
321	0.6790594312
322	0.6785557657
323	0.678209424
324	0.6778280087
325	0.6744849536
326	0.6742409139
327	0.6739416363
328	0.6706948959
329	0.6691028831
330	0.6660525972
331	0.6656821955
332	0.6654704629
333	0.663269675
334	0.662050895
335	0.6604304559
336	0.6600819147
337	0.6598788783
338	0.6595651121
339	0.659141654
340	0.6589484801
341	0.6587317397
342	0.6583929208
343	0.6559775176
344	0.6556523625
345	0.6526529433
346	0.6496639442
347	0.6493821146
348	0.6491401869
349	0.6460977513
350	0.6451048711
351	0.6447979479
352	0.6444997558
353	0.642209579
354	0.6418304491
355	0.6415347009
356	0.6404572072
357	0.6402903575
358	0.6397115717
359	0.6368218553
360	0.6352203964
361	0.6349290495
362	0.6320791454
363	0.6318094445
364	0.6316584867
365	0.6301159322
366	0.6294138639
367	0.6276812131
368	0.6248932643
369	0.623418967
370	0.6221514659
371	0.6190742692
372	0.6176325374
373	0.6165007419
374	0.6161521076
375	0.6140849953
376	0.6100556807
377	0.6097523509
378	0.6092149066
379	0.60837044
380	0.6073251187
381	0.605474464
382	0.6029169454
383	0.6026241475
384	0.6014152924
385	0.5991430142
386	0.599017521
387	0.5983089662
388	0.5966057637
389	0.5954799895
390	0.5941814286
391	0.5938179613
392	0.591656922
393	0.591405363
394	0.5912759141
395	0.5904814571
396	0.587132141
397	0.5868084654
398	0.5852722581
399	0.5839568159
400	0.5836765596
401	0.5831451407
402	0.5818381461
403	0.5814381854
404	0.5808868182
405	0.5787954201
406	0.5775200477
407	0.575878811
408	0.5748445675
409	0.5746913588
410	0.5737681165
411	0.5725091326
412	0.5703975039
413	0.5699005922
414	0.5681235742
415	0.5665595508
416	0.5663537865
417	0.5644664407
418	0.5643527257
419	0.5617389689
420	0.5593891173
421	0.5576347031
422	0.5542424001
423	0.5534009031
424	0.5510140829
425	0.5508269319
426	0.5486549035
427	0.5477689937
428	0.5473411861
429	0.5454968581
430	0.54255638
431	0.5422729305
432	0.5420232668
433	0.5405997013
434	0.5403420311
435	0.5393306241
436	0.5382572159
437	0.536476119
438	0.5354928295
439	0.5351034433
440	0.5331846384
441	0.532967478
442	0.5317789068
443	0.5301491192
444	0.5283238244
445	0.5280195924
446	0.5268875527
447	0.5259056929
448	0.5255945271
449	0.5242872126
450	0.524091035
451	0.5219183199
452	0.520289318
453	0.5200874722
454	0.5186140574
455	0.5184465966
456	0.5169218362
457	0.5151424877
458	0.5142681172
459	0.5139483137
460	0.5137918945
461	0.512751403
462	0.5116288737
463	0.5109335253
464	0.509916676
465	0.506470547
466	0.5061770316
467	0.5041357866
468	0.5038513057
469	0.5033968188
470	0.5030327917
471	0.4998119204
472	0.4972486214
473	0.4970842032
474	0.4969045475
475	0.4962432295
476	0.4957919106
477	0.4955668658
478	0.4953227602
479	0.4944930358
480	0.4938425864
481	0.4924006044
482	0.4922584474
483	0.4906094798
484	0.4895802322
485	0.4894842956
486	0.4891923821
487	0.4876796351
488	0.4875084362
489	0.4862490323
490	0.4855346959
491	0.4853593016
492	0.4851451512
493	0.4849647406
494	0.4847778629
495	0.4835482881
496	0.4832024191
497	0.4819974091
498	0.4810297747
499	0.4794268181
500	0.4792956576
501	0.4779785604
502	0.4778234972
503	0.477590306
504	0.4775014158
505	0.4764214924
506	0.4762386102
507	0.4755454515
508	0.4736231902
509	0.4730242494
510	0.4721264686
511	0.4717994129
512	0.4706765018
513	0.4702610606
514	0.4694446458
515	0.4688841196
516	0.4687420353
517	0.4678616327
518	0.4677586722
519	0.4673275874
520	0.4667858621
521	0.4649229921
522	0.4641852606
523	0.4631152661
524	0.460416886
525	0.4576731118
526	0.4568615343
527	0.4554294383
528	0.4552887423
529	0.4527425969
530	0.4516648847
531	0.4506716082
532	0.448953686
533	0.4482083104
534	0.4472160311
535	0.4469555927
536	0.446718751
537	0.4456162135
538	0.445526473
539	0.4448920529
540	0.4434949815
541	0.4425981838
542	0.4423447838
543	0.4418525632
544	0.4399676209
545	0.4388766799
546	0.4378607731
547	0.4377159162
548	0.4373030966
549	0.4368612165
550	0.4366165884
551	0.4363011539
552	0.4348957945
553	0.4348294512
554	0.4336324525
555	0.4331255555
556	0.4310952147
557	0.4300339239
558	0.4290521692
559	0.4277025251
560	0.4272737811
561	0.4258812535
562	0.4246711992
563	0.4236305424
564	0.4235652813
565	0.4227710485
566	0.4223587371
567	0.4214919118
568	0.4191762658
569	0.4188472292
570	0.4178770187
571	0.4175763081
572	0.4172121292
573	0.4160401429
574	0.4156033821
575	0.4147474533
576	0.4133934948
577	0.4120875686
578	0.411369775
579	0.4101752831
580	0.4100471898
581	0.409362604
582	0.4090242588
583	0.4075430846
584	0.4070700694
585	0.4062839266
586	0.404641084
587	0.4043175316
588	0.4039961974
589	0.4027552579
590	0.4024636143
591	0.402343743
592	0.4019057903
593	0.4012492639
594	0.4007030951
595	0.3996085347
596	0.399296925
597	0.398747114
598	0.3978631924
599	0.3970639951
600	0.3954272537
601	0.3942926167
602	0.3939267269
603	0.3935749773
604	0.3923482792
605	0.3910478268
606	0.3899006316
607	0.389199577
608	0.3884965291
609	0.3877753425
610	0.3871416998
611	0.3852827644
612	0.3833220556
613	0.3818836444
614	0.38147872
615	0.3810879953
616	0.3795204778
617	0.3792049072
618	0.3785227625
619	0.377737589
620	0.3771844381
621	0.3770776618
622	0.3762600537
623	0.3760376191
624	0.3757576544
625	0.3747980219
626	0.3739493274
627	0.3737898179
628	0.3726547495
629	0.3720286768
630	0.3716853668
631	0.3712193472
632	0.3707279704
633	0.3702397383
634	0.3698700373
635	0.3695029152
636	0.3690027436
637	0.3686261206
638	0.3679382499
639	0.3671143589
640	0.3669146406
641	0.3665490968
642	0.365841233
643	0.3648093222
644	0.3642934188
645	0.3641895857
646	0.3622204155
647	0.3618794007
648	0.3613695291
649	0.360786913
650	0.3601957837
651	0.3587659012
652	0.3583826958
653	0.3571599004
654	0.3570297685
655	0.3554357394
656	0.3552800003
657	0.3549717124
658	0.3544780812
659	0.3532580108
660	0.3520825812
661	0.3515995567
662	0.3512459313
663	0.3505390177
664	0.3504181183
665	0.3501508994
666	0.3488591614
667	0.3482851867
668	0.3481443355
669	0.3480279719
