iter	Passed	Remaining
0	164	164404
1	165	82777
2	166	55362
3	167	41645
4	167	33416
5	168	27923
6	169	24005
7	169	21076
8	170	18824
9	171	17007
10	172	15553
11	173	14311
12	174	13250
13	175	12345
14	175	11555
15	176	10863
16	177	10260
17	178	9717
18	178	9233
19	179	8792
20	180	8400
21	180	8041
22	181	7714
23	182	7411
24	182	7133
25	183	6881
26	185	6668
27	186	6457
28	186	6257
29	187	6071
30	188	5894
31	189	5727
32	190	5571
33	190	5424
34	191	5285
35	192	5152
36	193	5026
37	193	4906
38	194	4791
39	195	4684
40	195	4580
41	196	4484
42	197	4388
43	198	4302
44	199	4225
45	200	4149
46	200	4072
47	201	4003
48	202	3932
49	203	3865
50	204	3802
51	205	3740
52	205	3680
53	206	3620
54	207	3562
55	208	3507
56	208	3453
57	209	3401
58	210	3352
59	210	3304
60	211	3258
61	212	3215
62	213	3176
63	214	3134
64	215	3093
65	215	3053
66	216	3014
67	217	2977
68	217	2940
69	218	2907
70	219	2873
71	220	2840
72	221	2807
73	221	2774
74	222	2742
75	223	2711
76	223	2681
77	224	2652
78	225	2623
79	225	2595
80	226	2567
81	226	2540
82	244	2696
83	244	2671
84	245	2646
85	246	2620
86	247	2595
87	247	2569
88	248	2545
89	249	2522
90	250	2499
91	250	2476
92	251	2453
93	252	2432
94	253	2411
95	253	2389
96	254	2369
97	255	2349
98	256	2330
99	256	2310
100	257	2290
101	258	2272
102	259	2256
103	260	2240
104	261	2225
105	262	2215
106	263	2199
107	264	2183
108	265	2167
109	265	2151
110	266	2136
111	267	2120
112	268	2104
113	268	2088
114	269	2073
115	270	2061
116	271	2047
117	272	2034
118	272	2020
119	274	2009
120	275	1998
121	276	1987
122	276	1974
123	277	1962
124	278	1950
125	279	1938
126	280	1927
127	281	1915
128	281	1903
129	282	1891
130	283	1879
131	283	1867
132	284	1856
133	285	1846
134	286	1836
135	287	1826
136	288	1817
137	289	1808
138	290	1798
139	291	1789
140	292	1779
141	293	1770
142	294	1761
143	295	1754
144	296	1745
145	296	1736
146	297	1727
147	298	1718
148	299	1709
149	300	1701
150	301	1694
151	302	1685
152	303	1678
153	304	1672
154	305	1664
155	306	1657
156	307	1650
157	308	1643
158	309	1635
159	309	1627
160	310	1619
161	311	1613
162	312	1606
163	313	1599
164	314	1593
165	315	1586
166	316	1579
167	317	1572
168	318	1567
169	319	1560
170	320	1553
171	321	1546
172	322	1539
173	322	1533
174	323	1526
175	324	1520
176	325	1514
177	326	1508
178	327	1502
179	328	1496
180	329	1488
181	330	1483
182	330	1477
183	331	1470
184	332	1466
185	334	1461
186	334	1456
187	335	1450
188	336	1445
189	337	1440
190	338	1435
191	339	1429
192	340	1423
193	341	1417
194	341	1411
195	342	1405
196	343	1400
197	344	1395
198	345	1391
199	347	1389
200	348	1385
201	349	1379
202	349	1374
203	350	1368
204	351	1363
205	352	1357
206	353	1352
207	353	1347
208	354	1341
209	355	1336
210	356	1331
211	357	1327
212	357	1321
213	358	1315
214	359	1310
215	359	1306
216	360	1301
217	361	1296
218	362	1291
219	363	1287
220	364	1283
221	365	1279
222	365	1274
223	366	1269
224	367	1265
225	367	1260
226	368	1255
227	369	1250
228	370	1245
229	370	1241
230	371	1236
231	372	1231
232	372	1227
233	373	1222
234	374	1218
235	374	1213
236	375	1208
237	376	1204
238	377	1200
239	378	1197
240	378	1192
241	379	1188
242	380	1184
243	381	1180
244	381	1176
245	382	1171
246	383	1167
247	383	1163
248	384	1159
249	385	1155
250	385	1151
251	386	1147
252	387	1143
253	387	1139
254	388	1134
255	389	1130
256	389	1127
257	390	1123
258	391	1119
259	392	1116
260	393	1114
261	394	1111
262	395	1107
263	395	1103
264	396	1099
265	397	1095
266	397	1092
267	398	1088
268	399	1085
269	399	1081
270	400	1077
271	401	1073
272	401	1070
273	402	1066
274	403	1063
275	403	1059
276	404	1056
277	405	1052
278	406	1049
279	406	1045
280	407	1043
281	408	1040
282	409	1037
283	410	1033
284	410	1030
285	411	1027
286	412	1024
287	412	1020
288	413	1017
289	414	1014
290	414	1010
291	415	1007
292	416	1004
293	417	1001
294	417	998
295	418	995
296	419	992
297	419	989
298	420	986
299	421	983
300	422	981
301	423	979
302	424	976
303	425	973
304	426	970
305	426	967
306	427	965
307	428	962
308	429	959
309	429	957
310	430	954
311	431	951
312	432	948
313	432	945
314	433	942
315	434	939
316	434	936
317	435	933
318	436	931
319	436	928
320	438	926
321	438	924
322	439	921
323	440	918
324	441	915
325	441	913
326	443	911
327	443	909
328	444	907
329	445	905
330	446	903
331	447	900
332	448	898
333	449	895
334	450	893
335	450	891
336	451	888
337	452	887
338	453	885
339	454	882
340	455	880
341	456	878
342	457	875
343	457	873
344	458	871
345	459	869
346	460	867
347	461	864
348	462	861
349	462	859
350	463	856
351	463	854
352	464	851
353	465	849
354	465	846
355	466	844
356	467	842
357	468	840
358	470	839
359	470	837
360	471	834
361	472	832
362	473	830
363	474	828
364	474	825
365	475	823
366	476	821
367	477	819
368	477	816
369	478	814
370	479	812
371	479	810
372	480	807
373	481	805
374	482	803
375	483	801
376	484	800
377	485	798
378	486	796
379	486	794
380	487	792
381	488	790
382	489	788
383	490	786
384	490	784
385	491	782
386	492	779
387	492	777
388	493	775
389	494	773
390	495	771
391	495	768
392	496	766
393	497	765
394	498	763
395	499	761
396	499	759
397	500	757
398	501	755
399	502	753
400	502	751
401	503	749
402	504	747
403	505	745
404	505	743
405	506	741
406	507	739
407	508	737
408	508	735
409	509	733
410	510	730
411	510	728
412	511	726
413	512	725
414	513	723
415	513	721
416	514	719
417	515	717
418	516	715
419	516	713
420	517	711
421	518	710
422	519	708
423	520	706
424	520	704
425	521	702
426	522	700
427	522	698
428	523	696
429	524	694
430	524	692
431	525	691
432	526	689
433	527	687
434	528	685
435	528	684
436	530	682
437	530	681
438	531	679
439	532	677
440	533	676
441	534	674
442	535	672
443	535	671
444	536	669
445	537	667
446	537	665
447	538	663
448	539	661
449	539	659
450	540	658
451	541	656
452	542	655
453	543	653
454	544	652
455	545	650
456	546	648
457	547	647
458	547	645
459	548	644
460	549	642
461	550	640
462	550	638
463	551	637
464	552	635
465	552	633
466	553	631
467	554	629
468	554	628
469	555	626
470	556	625
471	557	623
472	558	622
473	559	620
474	559	618
475	560	617
476	561	615
477	562	613
478	563	612
479	563	610
480	564	608
481	564	607
482	565	605
483	566	603
484	567	602
485	567	600
486	568	598
487	569	597
488	570	596
489	571	594
490	572	593
491	573	591
492	574	590
493	574	588
494	575	587
495	576	585
496	577	584
497	578	582
498	579	581
499	579	579
500	580	578
501	581	576
